participantId,experimentId,segment_index,tab,start_ms,end_ms,duration_ms
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,0,reading,1766411463290.0,1766411475692.0,12402.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,1,chat,1766411475692.0,1766411489499.0,13807.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,2,reading,1766411489499.0,1766411496927.0,7428.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,3,chat,1766411496927.0,1766411600286.0,103359.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,4,reading,1766411600286.0,1766411605714.0,5428.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,5,chat,1766411605714.0,1766411658545.0,52831.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,6,reading,1766411658545.0,1766411664236.0,5691.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,7,chat,1766411664236.0,1766411678171.0,13935.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,8,reading,1766411678171.0,1766411691813.0,13642.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,9,chat,1766411691813.0,1766411699854.0,8041.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,10,reading,1766411699854.0,1766411715203.0,15349.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,11,chat,1766411715203.0,1766411732771.0,17568.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,12,reading,1766411732771.0,1766411872858.0,140087.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,13,chat,1766411872858.0,1766411878842.0,5984.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,14,reading,1766411878842.0,1766411891608.0,12766.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,15,chat,1766411891608.0,1766411892101.0,493.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,16,reading,1766411892101.0,1766411893650.0,1549.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,17,chat,1766411893650.0,1766411916392.0,22742.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,18,reading,1766411916392.0,1766412296160.0,379768.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,19,chat,1766412296160.0,1766412297421.0,1261.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,20,reading,1766412297421.0,1766412598702.0,301281.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,21,chat,1766412598702.0,1766412598802.0,100.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,22,reading,1766412598802.0,1766412925993.0,327191.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,23,chat,1766412925993.0,1766412943868.0,17875.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,24,reading,1766412943868.0,1766412961884.0,18016.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,25,chat,1766412961884.0,1766412981318.0,19434.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,26,reading,1766412981318.0,1766412982493.0,1175.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,27,chat,1766412982493.0,1766412983116.0,623.0
