participantId,experimentId,reading_id,totalEvents,duration,focusTime_reading,focusTime_chat,focusTime_video,focusTime_audio,focusTime_infographics,reading_count,reading_totalDuration,scanning_count,scanning_totalDuration,scrolling_count,scrolling_totalDuration
634d7fd5face88069f7ff6ff,HHz8obSjzbypCTIQVl5J,HHz8obSjzbypCTIQVl5J_reading,40,1255886,879516,2983,134137.0,225030.0,14210.0,11,847851,3,8631,7,4626
6384fc5695a4edef691103c0,NhuzFczfMTaBt66x6OnX,NhuzFczfMTaBt66x6OnX_reading,45,1582255,1541567,40687,0,0,0,8,1489662,6,20442,30,8853
63cedf5f87024f8b1ad1023f,b7OQw9HRrSwTFOsqKfpc,b7OQw9HRrSwTFOsqKfpc_reading,20,12543251,12543251,0,0,0,0,4,56772,2,5728,17,5287
63cfefc43323e05d2a6f554b,Q6xKfZPf86n53gCl66NO,Q6xKfZPf86n53gCl66NO_reading,376,1699338,964859,734424,0,0,0,39,453694,56,176700,229,114095
63d023f75eaafe675b6fa5fd,mYlzaViboWqSYi3CP0Xw,mYlzaViboWqSYi3CP0Xw_reading,165,1465061,937658,457098,35346.0,24117.0,10780.0,25,847370,5,12798,35,17425
63d1b1192b2b6d76dae50c06,axya34s1FGIXez3ctZNI,axya34s1FGIXez3ctZNI_reading,40,1261070,1261070,0,0,0,0,10,892552,9,31815,37,24213
63d2d8388a367c258ca82590,vpzQL2hC3ErSmTUaK24q,vpzQL2hC3ErSmTUaK24q_reading,401,1903000,1903000,0,0,0,0,57,1063052,36,113607,330,210537
63d3fd5916541b5031bd4a3f,OMkeCIiMn7SXdm6J1crH,OMkeCIiMn7SXdm6J1crH_reading,165,1959808,1959807,0,0,0,0,44,1529019,17,55874,102,49544
63efe25e481b721d4bcd9639,1nvkf83KHLzjAgNl48r4,1nvkf83KHLzjAgNl48r4_reading,156,1478119,829414,359415,128206.0,103178.0,57888.0,11,679523,14,43647,47,27206
63fc7ac4c0ba10b71a25a63d,J4GbA94CHaaWdcQ0NXaS,J4GbA94CHaaWdcQ0NXaS_reading,80,1328804,1322934,5868,0,0,0,35,1097146,6,20022,53,22606
64012ee6e3f2e59aaa36f718,pASsyWL7BeU8d2LHylSm,pASsyWL7BeU8d2LHylSm_reading,,1241333,1233556,7776,0,0,0,5,1211539,2,5155,5,3744
640349ae900739316aca0f9f,EN5BvdroxpPwpTiEm7rh,EN5BvdroxpPwpTiEm7rh_reading,43,1304354,1304354,0,0,0,0,21,1246474,2,8776,37,8860
644695d12dd99a1712dd84c0,RKN3czQkvNUU5ttarWYh,RKN3czQkvNUU5ttarWYh_reading,83,1377874,1029411,7662,140310.0,141464.0,59024.0,31,768644,14,46336,40,25114
64481bca476d6bfbae2066e2,f1OPhn14k8F7rGD1L8mJ,f1OPhn14k8F7rGD1L8mJ_reading,20,1381656,710844,670792,0,0,0,6,684307,2,5402,11,5087
651d623cbdcb675cb801bc79,x5sYIrMm9w1ys3Jchr1i,x5sYIrMm9w1ys3Jchr1i_reading,80,1308031,1308031,0,0,0,0,38,1175500,12,39194,38,22523
65216075939674db7a47e7d0,Yfw8NCvirVvm32ZHzZiJ,Yfw8NCvirVvm32ZHzZiJ_reading,293,1518293,573742,689474,128549.0,105606.0,20918.0,20,218822,19,60416,244,109747
653927811b00d4a0036cb7ab,3EZ8IRrVZzpDroqLAJlG,3EZ8IRrVZzpDroqLAJlG_reading,40,1365634,630026,735606,0,0,0,34,578327,2,5550,15,10791
653ab786a5162b73aac38bc9,78C8AQfG2rCDiUEmjyok,78C8AQfG2rCDiUEmjyok_reading,197,1678080,690823,987230,0,0,0,32,545244,10,35866,72,34746
654142b51c0cbebefa6f3ea0,ZIbsiXSnfrbUrBEYgzsh,ZIbsiXSnfrbUrBEYgzsh_reading,38,1292905,61450,996299,105075.0,82972.0,47109.0,2,36935,1,4922,9,3860
654a56ff9b8baf6c84eb9b69,17dMdN4BxHTnNsbKRHsN,17dMdN4BxHTnNsbKRHsN_reading,113,1416988,840067,576904,0,0,0,26,685698,8,23335,38,16295
65706b89d4c6c32963d258e8,ycSqXvdB3Wbh1iG4ulRd,ycSqXvdB3Wbh1iG4ulRd_reading,104,1342128,1206858,60437,40046.0,21834.0,12919.0,9,974080,4,14380,45,12451
6598124cb009a156ae665edf,diGtl8DflcDIUP6aKG6k,diGtl8DflcDIUP6aKG6k_reading,60,1863442,1863442,0,0,0,0,22,443606,9,31842,34,16399
659d4aadab2eb6b7a8cffb07,iQjS3eOikULjqU5DaPxQ,iQjS3eOikULjqU5DaPxQ_reading,18,1281817,19514,1262299,0,0,0,1,17684,0,0,4,2594
659d6ca29e5500da27f1cb5b,AOTDLxmpLc9JVxY8GHjR,AOTDLxmpLc9JVxY8GHjR_reading,192,1549423,424232,1125146,0,0,0,18,291579,13,41263,71,38953
65b65fdfb1aba2f7325fa073,cUjl1d7RaeYwiwbgh0le,cUjl1d7RaeYwiwbgh0le_reading,39,1276835,1276834,0,0,0,0,19,1054155,0,0,19,3107
65c637e0e76b878b89b9bae2,ijiQ82QNgphztukQKALV,ijiQ82QNgphztukQKALV_reading,87,1289547,1280838,8704,0,0,0,31,980544,9,31976,32,20378
65de3af8fcbc6ef9331bd863,LQH1zlNOtNql3tc1rKJr,LQH1zlNOtNql3tc1rKJr_reading,179,1557297,1249889,307395,0,0,0,29,870580,16,48565,116,41190
65ef950203e4e8448c55e54c,FzanR5obi65ML0pmiN1X,FzanR5obi65ML0pmiN1X_reading,404,1559654,1191689,106249,128214.0,112726.0,20707.0,28,797428,24,76130,325,107566
