Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6947aba817f73b98b151423a,67191218806a2b419b243e5c,AWAITING REVIEW,Not Applicable,2025-12-21T08:11:24.831000Z,2025-12-21T08:52:12.439000Z,,2025-12-21T08:52:12.806288Z,2448.0,CNST1ELE,561,28,Female,White,United States,United States,United States,English,No,Full-Time
6947aeff920ccf53128cbaa4,614f7550e1d2a29137820173,AWAITING REVIEW,Not Applicable,2025-12-21T08:25:38.065000Z,2025-12-21T09:06:50.596000Z,,2025-12-21T09:06:50.987893Z,2473.0,CNST1ELE,1067,36,Female,Mixed,United States,United States,United States,English,No,Full-Time
6947b228b42343c2ffc66cb6,60d52a5dca16f851ab8b9b82,AWAITING REVIEW,Not Applicable,2025-12-21T08:39:39.635000Z,2025-12-21T09:20:59.862000Z,,2025-12-21T09:21:00.227366Z,2481.0,CNST1ELE,1948,42,Female,White,United States,United States,United States,English,No,Full-Time
6947ca78dc8abacc81b6f75f,678951eaacd3135a38c86ec9,AWAITING REVIEW,Not Applicable,2025-12-21T10:22:55.497000Z,2025-12-21T11:14:28.246000Z,,2025-12-21T15:18:14.466663Z,3093.0,CNST1ELE,1803,50,Female,Mixed,United States,United States,United States,English,No,Full-Time
6947d48bbb6c5c703800c06f,65f684e029d7c63f3338aed7,AWAITING REVIEW,Not Applicable,2025-12-21T11:05:54.136000Z,2025-12-21T11:45:16.457000Z,,2025-12-21T11:45:16.811116Z,2363.0,CNST1ELE,812,51,Female,White,United States,United States,United States,English,No,Full-Time
6947ea2e58091ace1f7d3f7e,67d97337faf4d981fef4baed,AWAITING REVIEW,Not Applicable,2025-12-21T12:39:57.020000Z,2025-12-21T13:20:28.783000Z,,2025-12-21T13:20:29.141265Z,2432.0,CNST1ELE,1267,51,Female,White,United States,United States,United States,English,No,Full-Time
6947eca9346962abfff4fb60,6703370d69c922c9c282ef5c,AWAITING REVIEW,Not Applicable,2025-12-21T12:48:46.364000Z,2025-12-21T13:28:09.886000Z,,2025-12-21T13:28:10.251804Z,2364.0,CNST1ELE,593,33,Female,White,United States,United States,United States,English,No,Full-Time
6947f5a826c2e53fb18434a5,69417dc7901519e2a9fb47a9,AWAITING REVIEW,Not Applicable,2025-12-21T13:27:09.521000Z,2025-12-21T14:12:44.437000Z,,2025-12-21T14:12:55.678957Z,2735.0,CNST1ELE,19,44,Female,Asian,United States,United States,United States,English,No,Full-Time
6948066e1c5ca1434297c637,5e6155e6f169c0046b6d6518,AWAITING REVIEW,Not Applicable,2025-12-21T14:38:43.654000Z,2025-12-21T15:18:17.066000Z,,2025-12-21T15:18:17.449189Z,2374.0,CNST1ELE,1940,34,Male,White,United States,United States,United States,English,No,Full-Time
694806ec3b87e50f4f5c8a46,6943e48fc43c953025c04e37,AWAITING REVIEW,Not Applicable,2025-12-21T14:40:53.499000Z,2025-12-21T15:23:43.491000Z,,2025-12-21T15:23:43.856532Z,2570.0,CNST1ELE,8,35,Female,White,United States,United States,United States,English,No,Full-Time
694819bc940f2558f36cdd66,66293e1a129d3f87aa344b26,AWAITING REVIEW,Not Applicable,2025-12-21T16:01:12.378000Z,2025-12-21T17:02:30.437000Z,,2025-12-21T17:02:30.796959Z,3679.0,CNST1ELE,1373,54,Male,White,United States,United States,United States,English,No,Full-Time
69482408ec024e2643781494,6945d3294c8cf5eefa76293a,AWAITING REVIEW,Not Applicable,2025-12-21T16:45:05.056000Z,2025-12-21T17:20:20.947000Z,,2025-12-21T17:20:21.333226Z,2116.0,CNST1ELE,10,28,Female,White,United States,United States,United States,English,Yes,Full-Time
69482857a44eed6d9ae74de7,69416e7b2145d97eb0f931cb,AWAITING REVIEW,Not Applicable,2025-12-21T17:03:24.560000Z,2025-12-21T18:33:50.557000Z,,2025-12-21T18:33:50.919791Z,5426.0,CNST1ELE,27,32,Female,Black,United States,United States,United States,English,No,Full-Time
69482dd42ea3cd0744217cff,6942d12e93e20e19d2db3d33,AWAITING REVIEW,Not Applicable,2025-12-21T17:26:48.407000Z,2025-12-21T17:57:30.260000Z,,2025-12-21T17:57:30.637104Z,1842.0,CNST1ELE,40,34,Female,White,United States,United States,United States,English,No,Full-Time
694837943c2dc9d1a351350d,69416d24e3dadef069de4f83,AWAITING REVIEW,Not Applicable,2025-12-21T18:08:24.708000Z,2025-12-21T18:38:18.267000Z,,2025-12-21T18:38:18.639806Z,1794.0,CNST1ELE,17,36,Female,White,United States,United States,United States,English,No,Full-Time
694839aa3b4406b2184f58ef,66f0457846752930b55150a3,AWAITING REVIEW,Not Applicable,2025-12-21T18:17:29.390000Z,2025-12-21T19:03:51.496000Z,,2025-12-21T19:04:12.256651Z,2783.0,CNST1ELE,670,48,Female,Black,United States,United States,United States,English,No,Full-Time
69484105a3174fa23287cd77,69438d3b4d5b93c9428698fc,AWAITING REVIEW,Not Applicable,2025-12-21T18:48:44.887000Z,2025-12-21T19:16:15.061000Z,,2025-12-21T19:16:15.436484Z,1651.0,CNST1ELE,22,29,Male,Other,United States,United States,United States,English,Yes,Full-Time
694847045f6327c9a0ec2034,69416d053e537e4d1c275a3f,AWAITING REVIEW,Not Applicable,2025-12-21T19:14:35.502000Z,2025-12-21T19:46:25.581000Z,,2025-12-21T19:46:25.960258Z,1911.0,CNST1ELE,60,39,Male,White,United States,United States,United States,English,No,Full-Time
69484e50169a877c13065a1f,691e376dcd6e82882b5f5a3f,AWAITING REVIEW,Not Applicable,2025-12-21T19:45:27.585000Z,2025-12-21T20:22:35.578000Z,,2025-12-21T20:22:35.913586Z,2228.0,CNST1ELE,197,30,Female,White,United States,United States,United States,English,Yes,Full-Time
69484f8123d168aa69d6481a,6746e74a384ba0891f6de321,AWAITING REVIEW,Not Applicable,2025-12-21T19:50:29.478000Z,2025-12-21T20:21:12.672000Z,,2025-12-21T20:21:13.030388Z,1844.0,CNST1ELE,325,33,Male,White,United States,United States,United States,English,Yes,Full-Time
69485159de84b53327e45457,67a42f4cbca316730e66e3d8,AWAITING REVIEW,Not Applicable,2025-12-21T19:58:25.381000Z,2025-12-21T20:35:58.567000Z,,2025-12-22T20:30:51.886684Z,2254.0,CNST1ELE,323,36,Female,White,United States,United States,United States,English,No,Full-Time
694857cfde84b53327e45517,660477cf6f52f75e86f4f349,AWAITING REVIEW,Not Applicable,2025-12-21T20:25:53.624000Z,2025-12-21T21:15:05.692000Z,,2025-12-21T21:15:06.039132Z,2953.0,CNST1ELE,179,27,Female,Mixed,United States,United States,United States,English,No,Full-Time
69485fcf87ad9854df9a77c8,67367a40e4abdcfbbaa00bcc,AWAITING REVIEW,Not Applicable,2025-12-21T21:00:04.875000Z,2025-12-21T21:44:48.171000Z,,2025-12-21T21:45:11.346507Z,2684.0,CNST1ELE,91,38,Male,Other,United States,United States,United States,English,Yes,Full-Time
6948643a1c2b267f8bfa27eb,678f46cd0f21903076471f34,AWAITING REVIEW,Not Applicable,2025-12-21T21:18:54.305000Z,2025-12-21T21:53:02.017000Z,,2025-12-21T21:53:02.381694Z,2048.0,CNST1ELE,787,30,Male,White,United States,United States,United States,English,No,Full-Time
694866bb1ed203be7ccba681,667e3c908dfe54c0973bbe34,AWAITING REVIEW,Not Applicable,2025-12-21T21:29:41.097000Z,2025-12-21T22:05:35.803000Z,,2025-12-21T22:05:36.170343Z,2155.0,CNST1ELE,1217,51,Female,Black,United States,United States,United States,English,No,Full-Time
6948722b37a1975221623948,60c75879fdf6194f658272fb,AWAITING REVIEW,Not Applicable,2025-12-21T22:18:22.923000Z,2025-12-21T22:57:15.251000Z,,2025-12-21T22:57:15.630154Z,2333.0,CNST1ELE,355,24,Female,White,United States,United States,United States,English,Yes,Full-Time
694879473c4191052ca9eb64,66c36df59f1061046b7ea01b,AWAITING REVIEW,Not Applicable,2025-12-21T22:48:47.072000Z,2025-12-21T23:32:00.692000Z,,2025-12-21T23:32:01.066159Z,2594.0,CNST1ELE,1586,43,Male,White,United States,United States,United States,English,No,Full-Time
69487a771b4a1b5642f2e069,6750963f80dc9a9b834ddbbe,AWAITING REVIEW,Not Applicable,2025-12-21T22:53:47.106000Z,2025-12-21T23:24:02.384000Z,,2025-12-21T23:24:02.723086Z,1816.0,CNST1ELE,919,36,Female,Mixed,United States,United States,United States,English,No,Full-Time
694885b97f51dbf3f9f5da51,67f0440c8c9c5d41005a7beb,AWAITING REVIEW,Not Applicable,2025-12-21T23:45:27.487000Z,2025-12-22T00:20:08.796000Z,,2025-12-22T00:20:09.410280Z,2082.0,CNST1ELE,591,61,Male,White,United States,United States,United States,English,No,Full-Time
